URL,Status
http://www.nytimes.com/elections/results/north-dakota-ballot-measure-5-medical-marijuana,200
http://www.nytimes.com/elections/results/iowa-state-house-district-80,200
https://www.nytimes.com/store/ivory-billed-woodpecker-plate-66-nsap894p.html,200
https://www.nytimes.com/2017/01/20/us/politics/trump-executive-order-obamacare.html,200
https://www.nytimes.com/2016/04/03/arts/music/gato-barbieri-latin-jazz-trailblazer-dies-at-83.html,200
http://www.nytimes.com/video/movies/100000004913200/trailer-from-nowhere.html,301
http://www.nytimes.com/real-estate/usa/ny/new-york/east-harlem/homes-for-sale/1200-fifth-avenue/46-2611544,200
http://www.nytimes.com/2016/12/28/fashion/weddings/engaging-proposals-from-the-rooftop-to-the-subway.html,301
https://www.nytimes.com/store/hummingbird-and-fuchsia-music-box-14286.html,200
http://www.nytimes.com/2017/01/27/fashion/parties-benefits-columbia-university-medical-center-new-york-presbyterian-winter-antiques-show-metropolitan-museum.html,301
https://www.nytimes.com/2017/02/14/sports/basketball/knicks-james-dolan-charles-oakley-apology.html,200
http://www.nytimes.com/2016/12/23/opinion/sunday/pastor-am-i-a-christian.html,301
http://www.nytimes.com/interactive/projects/notable-deaths/2016/fritz-weaver,301
http://www.nytimes.com/elections/results/iowa-state-house-district-79,200
http://www.nytimes.com/elections/results/vermont-state-house-chittenden-9-2,200
http://www.nytimes.com/2015/05/09/world/asia/north-korea-says-it-test-fired-missile-from-submarine.html,301
http://www.nytimes.com/elections/results/iowa-state-house-district-78,200
http://www.nytimes.com/elections/results/vermont-state-house-chittenden-9-1,200
http://www.nytimes.com/elections/results/iowa-state-house-district-77,200
http://www.nytimes.com/elections/results/iowa-state-house-district-76,200
http://www.nytimes.com/elections/results/iowa-state-house-district-75,200
http://www.nytimes.com/elections/results/iowa-state-house-district-74,200
https://www.nytimes.com/2015/10/01/fashion/melania-trump-the-silent-partner.html,200
http://www.nytimes.com/elections/results/iowa-state-house-district-73,200
http://www.nytimes.com/elections/results/iowa-state-house-district-72,200
http://www.nytimes.com/real-estate/usa/ny/brooklyn/crown-heights/homes-for-sale/grand-two-bedroom-in-prime-crown-hreights/12436-72f649002e3f3faaa1d3b5c7b0ffef9f8ffb6a51,200
https://www.nytimes.com/2017/01/18/world/europe/germany-afd-alternative-bjorn-hocke.html,200
http://www.nytimes.com/elections/results/iowa-state-house-district-71,200
http://www.nytimes.com/elections/results/iowa-state-house-district-70,200
http://www.nytimes.com/by/julie-hirschfeld-davis,301
http://www.nytimes.com/section/insider?URI=https%3A%2F%2Fwww.nytimes.com%2Fstore%2Fbooks%2Ftbooks%2Fbernard-l-madoff-master-of-the-ponzi-scheme-tb012.html,301
http://www.nytimes.com/2015/07/31/automobiles/autoreviews/video-review-honda-takes-different-path-with-the-accord-hybrid.html,301
https://www.nytimes.com/interactive/2016/12/09/science/mapping-three-decades-of-global-water-change.html,200
https://www.nytimes.com/2012/08/26/automobiles/autoreviews/the-cadillac-your-livery-driver-has-been-dreaming-of.html,301
http://www.nytimes.com/elections/results/iowa-state-house-district-69,200
http://www.nytimes.com/elections/results/iowa-state-house-district-68,200
https://www.nytimes.com/store/james-madison-nsamp4bk.html,200
http://www.nytimes.com/elections/results/iowa-state-house-district-67,200
http://www.nytimes.com/elections/results/iowa-state-house-district-66,200
http://www.nytimes.com/real-estate/usa/ny/brooklyn/sunset-park/homes-for-sale/4401-4th-avenue/44-4085107,200
https://www.nytimes.com/2017/01/26/movies/behemoth-review.html,200
http://www.nytimes.com/elections/results/iowa-state-house-district-65,200
http://www.nytimes.com/elections/results/iowa-state-house-district-64,200
http://www.nytimes.com/elections/results/iowa-state-house-district-63,200
http://www.nytimes.com/elections/results/iowa-state-house-district-62,200
http://www.nytimes.com/elections/results/iowa-state-house-district-61,200
http://www.nytimes.com/elections/results/iowa-state-house-district-60,200
https://www.nytimes.com/store/quick-and-nimble-lessons-from-leading-ceos-on-how-to-create-a-culture-of-innovation-13960.html,200
